Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
L9,100MHz,Inductors_SMD:L_0402,1,Wurth Electronics,74279277,Mouser,710-74279277
L10,10u,Inductors_SMD:L_0402,1,Wurth Electronics,74279277,Mouser,710-74279277
L8;L7,13n,Inductors_SMD:L_0402,2,Murata Electronics,LQW15AN13NG80D,Mouser,81-LQW15AN13NG80D
L12;L11,18n,Inductors_SMD:L_0402,2,TE Connectivity / Sigma Inductors,36501E18NJTDG,Mouser,279-36501E18NJTDG
L4;L3,20n,Inductors_SMD:L_0402,2,TE Connectivity / Sigma Inductors,36501E20NJTDG,Mouser,279-36501E20NJTDG
L2;L1,22n,Inductors_SMD:L_0402,2,Murata Electronics,LQW15CA22NJ00D,Mouser,81-LQW15CA22NJ00D
L6;L5,27n,Inductors_SMD:L_0402,2,Murata Electronics,LQW15AN27NG80D,Mouser,81-LQW15AN27NG80D
JP1,SolderJumper_2_Open,Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,,,,
D6,amber,LEDs:LED_0402,1,Kingbright,APHHS1005SECK,Mouser,604-APHHS1005SECK
D8,blue,LEDs:LED_0402,1,Kingbright, APHHS1005QBC/D,Mouser,604-APHHS1005QBCD
D1;D4,green,LEDs:LED_0402,2,Kingbright,APHHS1005CGCK,Mouser,604-APHHS1005CGCK
D3;D7;D0,red,LEDs:LED_0402,3,Kingbright,APHHS1005SURCK,Mouser,604-APHHS1005SURCK
D2;D5,yellow,LEDs:LED_0402,2,Kingbright,APHHS1005SYCK,Mouser,604-APHHS1005SYCK
P8,USB_OTG,MMDVM:USB-mini-710-65100516121,1,Wurth Electronics,65100516121,Mouser,710-65100516121
P4,DISPLAY,Pin_Headers:Pin_Header_Straight_1x04,1,TE Connectivity / AMP,826629-4,Mouser,571-826629-4
P3,I2C,Pin_Headers:Pin_Header_Straight_1x04,1,TE Connectivity / AMP,826629-4,Mouser,571-826629-4
P5,STLINK,Pin_Headers:Pin_Header_Straight_1x04,1,TE Connectivity / AMP,826629-4,Mouser,571-826629-4
P7,CONN_02X03,Pin_Headers:Pin_Header_Straight_2x03,1,TE Connectivity / AMP, 826632-3,Mouser,571-826632-3
J1,RPi_GPIO,Pin_Headers:Pin_Header_Straight_2x20,1,Harwin,M20-7832046,Mouser,855-M20-7832046
R30;R29,100k,Resistors_SMD:R_0402,2,Vishay,CRCW0402100KFKED,Mouser,71-CRCW0402-100K-E3
R15;R25,10k,Resistors_SMD:R_0402,2,Vishay,CRCW040210K0JNEDC,Mouser,71-CRCW040210K0JNEDC
R16;R17;R18;R19;R20;R21;R22;R24;R23;R13;R14;R11;R12,1k,Resistors_SMD:R_0402,13,Vishay,RCS04021K00JNED,Mouser,71-RCS04021K00JNED
R2;R1,1k1,Resistors_SMD:R_0402,2,Susumu,RR0510P-112-D,Mouser,754-RR0510P-112D
R28,1k5,Resistors_SMD:R_0402,1,Panasonic,ERA-2AED152X,Mouser,667-ERA-2AED152X
R10;R9,270,Resistors_SMD:R_0402,2,Panasonic,ERA-2AEB271X,Mouser,667-ERA-2AEB271X
R27;R26,27R,Resistors_SMD:R_0402,2,Susumu,RR0510R-270-D,Mouser,754-RR0510R-270D
R4;R3,3k8,Resistors_SMD:R_0402,2,Susumu,RR0510P-3831-D,Mouser,754-RR0510P-3831D
R6;R5,3r9,Resistors_SMD:R_0402,2,Vishay,CRCW04023R90JNED,Mouser,71-CRCW0402J-3.9-E3
R8;R7,560,Resistors_SMD:R_0402,2,Panasonic,ERA-2AEB561X,Mouser,667-ERA-2AEB561X
U4,LD1117S33TR,TO_SOT_Packages_SMD:SOT-223-3_TabPin2,1,Microchip Technology,TC2117-3.3VDBTR,Mouser,579-TC2117-3.3VDBTR
